# §31 register mapping (Step 0)
# Exactly one tab-separated entry per §31 requirement row.
# Columns: id phase state lifecycle mapping-basis missing_behavior task_target acceptance_target review_target
# new-record-required rows carry item-specific missing behavior and '-' targets;
# mapped-existing rows carry real task/test/review paths and '-' missing behavior.
PAY-01	v1	U	mapped-existing	L04 task/test/review trio covers §31.2 atomic order→webhook→ledger→alert boundary; local migration and provider fixture evidence is recorded; external provider/staging gates remain open	-	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-10	v1	U	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-10 after reviewing the §31 item	Missing from reviewed L-track evidence: Donor-safe status projection (UUID, amount, INR, state, updated)	-	-	-
PAY-11	v1·G	U	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-11 after reviewing the §31 item	Missing from reviewed L-track evidence: Payments ledger + CSV export (explicitly not a CA tax report) — **untiered and uncapped**, §12.6	-	-	-
PAY-12	v1·G	P	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-12 after reviewing the §31 item	Missing from reviewed L-track evidence: Provider capability snapshots; features gate on capability, not name	-	-	-
PAY-13	v1·G	X	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-13 after reviewing the §31 item	Missing from reviewed L-track evidence: Razorpay partner OAuth	-	-	-
PAY-14	v1	X	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-14 after reviewing the §31 item	Missing from reviewed L-track evidence: Payment account activation	-	-	-
PAY-15	v1	X	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-15 after reviewing the §31 item	Missing from reviewed L-track evidence: Reconciliation sweep + refund sweep actually running	-	-	-
PAY-16	v1	X	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-16 after reviewing the §31 item	Missing from reviewed L-track evidence: Manual-review quarantine resolution UI	-	-	-
PAY-17	v1	P	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-17 after reviewing the §31 item	Missing from reviewed L-track evidence: Dynamic **Order QR** on the tip page — server side exists, the surface half does not (§8.2.1)	-	-	-
QR-01	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-01 after reviewing the §31 item	Missing from reviewed L-track evidence: **Three QR kinds** implemented distinctly: Channel QR (tip-page short link), Order QR (one payment, expiring), Campaign QR (campaign page)	-	-	-
QR-02	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-02 after reviewing the §31 item	Missing from reviewed L-track evidence: **The overlay QR is always a Channel QR** — an Order QR on stream would expire mid-scan, bind every viewer to one stranger's order, and break on reload	-	-	-
QR-03	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-03 after reviewing the §31 item	Missing from reviewed L-track evidence: A Channel QR never embeds an amount; a Campaign QR may carry a suggested amount as a page parameter the supporter can change; an Order QR carries the exact amount	-	-	-
QR-04	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-04 after reviewing the §31 item	Missing from reviewed L-track evidence: Order QR shows remaining validity and offers one explicit regeneration — never a silent refresh mid-scan	-	-	-
QR-05	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-05 after reviewing the §31 item	Missing from reviewed L-track evidence: Rotating the channel short link invalidates every Channel QR in circulation: confirmation naming that consequence, and audited	-	-	-
QR-06	v1	P	new-record-required	Manual inventory: no existing L-track trio was justified for QR-06 after reviewing the §31 item	Missing from reviewed L-track evidence: Device routing — mobile UPI Intent, desktop Order QR, tablet offers both rather than guessing	-	-	-
QR-07	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-07 after reviewing the §31 item	Missing from reviewed L-track evidence: **UPI-intent return path proven on real devices** across Android, iOS and several UPI apps; a supporter who does not return cleanly still lands on a page that tells them the truth (`ENV-05`)	-	-	-
QR-08	v1	P	new-record-required	Manual inventory: no existing L-track trio was justified for QR-08 after reviewing the §31 item	Missing from reviewed L-track evidence: Preferred-app memory: the **browser half** (server allowlist exists). Stores which app was chosen, never a credential or account identifier, per device	-	-	-
QR-09	v1	U	new-record-required	Manual inventory: no existing L-track trio was justified for QR-09 after reviewing the §31 item	Missing from reviewed L-track evidence: A return from a UPI app is **never** success — only the HMAC-verified webhook confirms (`PAY-02`)	-	-	-
QR-10	v1	P	new-record-required	Manual inventory: no existing L-track trio was justified for QR-10 after reviewing the §31 item	Missing from reviewed L-track evidence: Honest waiting state with a bounded wait, then a recovery screen carrying the receipt link	-	-	-
QR-11	v1	U	new-record-required	Manual inventory: no existing L-track trio was justified for QR-11 after reviewing the §31 item	Missing from reviewed L-track evidence: Receipt link works with no login, from any device, at any later time (`VID-04`)	-	-	-
QR-12	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-12 after reviewing the §31 item	Missing from reviewed L-track evidence: QR download and copy from the tip-page editor and the §7.3 copy affordances, at print resolution	-	-	-
QR-13	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for QR-13 after reviewing the §31 item	Missing from reviewed L-track evidence: Per-attempt funnel record: path offered, path taken, app chosen where the OS reports it, return completed, intent-to-webhook time, failure class. **No account identifiers, no VPAs, no banking data**	-	-	-
QR-14	v1	P	new-record-required	Manual inventory: no existing L-track trio was justified for QR-14 after reviewing the §31 item	Missing from reviewed L-track evidence: Payment path functional with JavaScript degraded — a link and a QR always work (§19.9)	-	-	-
QR-15	v1	N	new-record-required	Manual inventory: no existing L-track trio was justified for QR-15 after reviewing the §31 item	Missing from reviewed L-track evidence: No "mark as paid", no generic QR fallback, no screenshot-based confirmation	-	-	-
PAY-18	v1	X	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-18 after reviewing the §31 item	Missing from reviewed L-track evidence: Preferred UPI app memory (browser half)	-	-	-
PAY-19	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-19 after reviewing the §31 item	Missing from reviewed L-track evidence: Direct UPI intent `upi://pay?pa&pn&tr&am&cu`	-	-	-
PAY-20	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-20 after reviewing the §31 item	Missing from reviewed L-track evidence: Payout/settlement status visible to creator	-	-	-
PAY-21	v1	A	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-21 after reviewing the §31 item	Missing from reviewed L-track evidence: Payment failure classification surfaced to creator	-	-	-
PAY-22	v1	U	new-record-required	Manual inventory: no existing L-track trio was justified for PAY-22 after reviewing the §31 item	Missing from reviewed L-track evidence: Subscriptions: annual = 10 months charged / 12 served	-	-	-
